time,drag0,drag1,drag2,lift0,lift1,lift2
22,-0.49941394466875666,-0.665392396769088,-0.6654479076598172,-6.869963990754414e-06,0.0398750449298635,-0.039888246784222564
22.5,-0.4992088960220052,-0.6652463259094896,-0.6653143146865388,-1.0915202696980416e-05,0.03918153853651894,-0.03922808695310047
23,-0.49880989081911586,-0.6647711256889515,-0.6648519847428703,-1.5045061329100858e-05,0.03997121524569488,-0.04004928053519516
23.5,-0.498318104150029,-0.6640440345183724,-0.6641371172851159,-1.8686885144788266e-05,0.04186550184058478,-0.041968978925044254
24,-0.49784535161619614,-0.6632037138241581,-0.6633074833240077,-2.130852826025926e-05,0.04427360896895552,-0.0443929527840195
24.5,-0.4974874717285983,-0.6624114714365654,-0.6625236950141692,-2.2498018372098358e-05,0.04656202257407748,-0.04668560182330523
25,-0.49730488772350046,-0.6618091413450061,-0.6619271797777246,-2.203976274532996e-05,0.04820762654488212,-0.04832349606326268
25.5,-0.4973131006622876,-0.6614857511717709,-0.6616069590138483,-1.9974107436387934e-05,0.04890528220833732,-0.049003167415519404
26,-0.49748387202691935,-0.661461413599502,-0.6615836083911203,-1.671203546535678e-05,0.0486130992550213,-0.048686453448456075
26.5,-0.4977560004559015,-0.6616903936553549,-0.6618122595357437,-1.2989793734374919e-05,0.04753223335191333,-0.0475797196627412
27,-0.4980528010350111,-0.6620795513177322,-0.662200835345158,-9.556361621161267e-06,0.04603153559512069,-0.046057152351168765
27.5,-0.49830171493357245,-0.6625149564286305,-0.6626364328404076,-6.966605995944032e-06,0.044539146399014434,-0.044551199551080056
28,-0.49845100663910635,-0.662889369843177,-0.6630126294809396,-5.616703433578376e-06,0.04343042017445208,-0.043439965633606
28.5,-0.4984796727686839,-0.6631250882833696,-0.6632522012286053,-5.662526778087054e-06,0.042941021571403074,-0.04295971395514332
29,-0.49839876947592326,-0.6631881179542523,-0.6633212645898537,-6.948429421702843e-06,0.043124655070146484,-0.043162342554101125
29.5,-0.49824480058264864,-0.663091276027727,-0.6632324128195433,-9.064124964574746e-06,0.043861125891123044,-0.043923830178437255
30,-0.4980678428732616,-0.6628861804138704,-0.6630367538873109,-1.1428982470981482e-05,0.044906641079058174,-0.04499530062804373
30.5,-0.4979180135247187,-0.6626467237554405,-0.6628074532097563,-1.3410205954706355e-05,0.04596835102901278,-0.04607861299665647
31,-0.497833706067352,-0.6624488354947667,-0.6626196086378077,-1.4472927362779904e-05,0.04678163536867121,-0.04690480821400099
31.5,-0.49783406207176767,-0.6623520926137807,-0.6625320205997757,-1.4354268132188007e-05,0.047171096765735755,-0.04729615135163317
32,-0.4979168150754016,-0.6623876400734818,-0.6625752519059379,-1.3070206316419578e-05,0.04708300137872509,-0.047198924439800456
32.5,-0.4980613205797225,-0.6625545035067021,-0.6627480381290013,-1.0750020273460337e-05,0.04658504745304455,-0.04668282067034037
33,-0.49823543534670994,-0.6628237145557812,-0.6630215239380325,-7.837820388941256e-06,0.04583689599225985,-0.04591157974142838
33.5,-0.4984042154049313,-0.6631480393729225,-0.6633489524858553,-5.038468344882585e-06,0.045042293465366985,-0.045094330982703545
34,-0.49853828359053914,-0.6634744479809317,-0.6636779870514202,-3.0176180904131224e-06,0.044395915144074885,-0.04443094802758075
34.5,-0.4986200220511262,-0.6637564733948235,-0.6639629082652334,-2.226376558469006e-06,0.04403754993966098,-0.04406504483787661
35,-0.4986463929955526,-0.6639639549361719,-0.6641742170626391,-2.865013534440882e-06,0.04402371017191298,-0.04405490401684841
35.5,-0.49862804303266217,-0.664088230153781,-0.6643037160265949,-4.906054380380621e-06,0.04432189615080127,-0.04436751599035536
36,-0.49858525990304636,-0.6641418681991325,-0.664364154584951,-8.041529336263108e-06,0.044826967803637686,-0.04489495411323668
36.5,-0.4985420452348998,-0.6641533170836696,-0.6643838480326747,-1.17438577833831e-05,0.04539349945551266,-0.045487354269021264
37,-0.4985199057084412,-0.6641581655478899,-0.664397969063968,-1.5408018215742783e-05,0.045874843309363124,-0.04599302975875076
37.5,-0.4985328896086697,-0.6641895601190322,-0.6644390500062947,-1.8480509257340968e-05,0.046158840180754716,-0.04629529260219855
38,-0.4985849496266074,-0.6642703357072213,-0.6645292503462699,-2.0554044617525488e-05,0.046191785511803515,-0.04633736977257325
38.5,-0.4986700369470352,-0.6644086512509451,-0.6646761566417516,-2.1440785163448538e-05,0.045985925082655726,-0.04613053790063874
39,-0.498774616153542,-0.6645977350759311,-0.6648726697937082,-2.1228197063299415e-05,0.045610268365008706,-0.04574515032650736
39.5,-0.49888172117273444,-0.6648192032364022,-0.6651003858935569,-2.024448640385577e-05,0.045168659197112854,-0.04528833191055954
40,-0.49897540906274557,-0.6650486858062032,-0.6653352031929884,-1.8953404302233883e-05,0.04477160078664379,-0.04487498272085239
